Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Mikal Bridges,28,NYK,SF,62,62,2344,6.8,13.9,0.488,2.1,5.9,0.35,4.7,8,0.59,0.562,0.7,1,0.727,0.8,2.2,3,3.2,0.9,0.5,1.4,1.4,16.4,NA
2,Josh Hart,29,NYK,SG,59,59,2230,5.3,9.7,0.547,1,3.1,0.328,4.3,6.6,0.648,0.599,2.2,2.8,0.797,2.1,7.1,9.2,5.3,1.4,0.4,2,2.5,13.8,NA
3,Anthony Edwards,23,MIN,SG,61,61,2227,8.9,20.3,0.439,4.1,10,0.406,4.8,10.3,0.471,0.539,5.2,6.2,0.837,0.8,5.1,5.8,4.5,1.1,0.6,3.3,1.9,27.1,NA
4,Jalen Brunson,28,NYK,PG,61,61,2162,9.3,18.9,0.49,2.3,6.1,0.384,7,12.9,0.541,0.552,5.8,7.1,0.825,0.4,2.6,3,7.5,1,0.1,2.5,2.2,26.7,NA
5,Jayson Tatum,26,BOS,PF,59,59,2147,9.1,20,0.455,3.5,10,0.354,5.6,10,0.557,0.544,4.9,6.1,0.803,0.7,8,8.7,5.7,1.1,0.5,2.9,2.2,26.6,NA
6,Trae Young,26,ATL,PG,59,59,2138,7.2,18,0.403,2.8,8.5,0.327,4.5,9.5,0.472,0.48,6.2,7.2,0.866,0.4,2.6,3,11.5,1.1,0.2,4.7,2,23.5,NA
7,De'Aaron Fox,27,2TM,PG,58,58,2106,8.7,18.7,0.463,1.9,6.1,0.31,6.8,12.6,0.537,0.513,4.3,5.2,0.825,0.9,3.9,4.8,6.2,1.5,0.4,2.8,2.6,23.5,NA
7,De'Aaron Fox,27,SAC,PG,45,45,1663,9,19.1,0.469,2,6.2,0.322,7,12.9,0.539,0.521,4.4,5.3,0.829,1,3.9,4.9,6,1.4,0.4,2.9,2.6,24.3,NA
7,De'Aaron Fox,27,SAS,PG,13,13,443,7.6,17.3,0.437,1.5,5.9,0.264,6,11.5,0.525,0.481,3.7,4.6,0.807,0.6,3.8,4.4,7,1.9,0.4,2.6,2.8,20.4,NA
8,Jalen Green,22,HOU,SG,63,63,2095,8.1,19.1,0.427,3.2,8.9,0.356,5,10.2,0.488,0.509,3.5,4.3,0.827,0.6,4.1,4.7,3.5,0.9,0.3,2.8,1.8,23,NA
9,Devin Booker,28,PHO,SG,56,56,2089,8.3,18.1,0.456,2.6,7.4,0.346,5.7,10.7,0.532,0.527,5.9,6.6,0.89,0.9,2.9,3.8,6.6,1,0.2,2.7,2.6,25,NA
10,Shai Gilgeous-Alexander,26,OKC,PG,61,61,2087,11.9,22.6,0.526,2.3,6,0.378,9.6,16.6,0.58,0.576,8.5,9.4,0.898,0.9,4.4,5.4,6.5,1.9,1.1,2.7,2.4,34.5,NA
11,Jaden McDaniels,24,MIN,PF,64,64,2083,5.4,11.4,0.476,1.4,4.4,0.329,4,7.1,0.566,0.539,1.6,1.9,0.833,1.8,4.7,6.6,2.2,1.6,1,1.3,3.2,13.8,NA
12,Tyler Herro,25,MIA,SG,58,58,2064,8.4,18.3,0.459,3.6,9.8,0.371,4.8,8.5,0.559,0.558,3.8,4.4,0.865,0.4,5,5.4,5.8,0.8,0.2,2.7,1.3,24.2,NA
13,James Harden,35,LAC,PG,59,59,2051,6.7,17,0.392,3,8.9,0.339,3.6,8.1,0.451,0.481,6.5,7.4,0.875,0.7,5.3,6,8.9,1.6,0.6,4.7,2.2,22.8,NA
